"","bruh","Freq"
"1",1,6
"2",2,6
"3",3,9
"4",4,7
"5",5,4
"6",6,11
"7",7,6
"8",8,11
"9",9,10
"10",10,12
"11",11,12
"12",12,7
"13",13,9
"14",14,9
"15",15,7
"16",16,5
"17",17,10
"18",18,13
"19",19,16
"20",20,19
"21",21,10
"22",22,18
"23",23,18
"24",24,12
"25",25,12
"26",26,17
"27",27,16
"28",28,14
"29",29,8
"30",30,18
"31",31,10
"32",32,14
"33",33,15
"34",34,19
"35",35,21
"36",36,19
"37",37,22
"38",38,17
"39",39,18
"40",40,20
"41",41,24
"42",42,24
"43",43,16
"44",44,27
"45",45,17
"46",46,19
"47",47,11
"48",48,12
"49",49,19
"50",50,15
"51",51,14
"52",52,19
"53",53,17
"54",54,16
"55",55,16
"56",56,16
"57",57,16
"58",58,21
"59",59,15
"60",60,18
"61",61,20
"62",62,12
"63",63,13
"64",64,17
"65",65,18
"66",66,21
"67",67,22
"68",68,22
"69",69,20
"70",70,25
"71",71,20
"72",72,21
